id,produto,categoria,quantidade,valor,data,vendedor,forma_pagamento
165,Teclado,Perifericos,1,250,2026-03-02,Julia,Cartao
166,SSD 1TB,Componentes,3,450,2026-09-18,Julia,Pix
167,Placa de Video,Componentes,1,2800,2026-05-05,Marina,Cartao
168,HD 2TB,Componentes,3,420,2026-09-18,Julia,Boleto
169,Mouse,Perifericos,1,120,2026-08-01,Joao,Boleto
170,Memoria RAM 16GB,Componentes,2,380,2026-05-25,Julia,Pix
171,Placa de Video,Componentes,1,2800,2026-09-08,Carlos,Cartao
172,Mouse,Perifericos,3,120,2026-07-13,Marina,Boleto
173,Placa de Video,Componentes,3,2800,2026-05-03,Pedro,Pix
174,Teclado,Perifericos,3,250,2026-06-12,Julia,Cartao
175,Mouse,Perifericos,1,120,2026-03-19,Marina,Boleto
176,Placa de Video,Componentes,1,2800,2026-06-19,Ana,Boleto
177,Headset,Perifericos,1,300,2026-08-22,Ana,Cartao
178,Webcam,Perifericos,4,280,2026-03-21,Ana,Cartao
179,Mouse,Perifericos,1,120,2026-07-23,Julia,Pix
180,Webcam,Perifericos,3,280,2026-07-14,Joao,Cartao
181,Teclado,Perifericos,2,250,2026-01-19,Pedro,Pix
182,HD 2TB,Componentes,4,420,2026-04-27,Julia,Pix
183,SSD 1TB,Componentes,1,450,2026-02-21,Marina,Pix
184,Notebook,Eletronicos,1,3500,2026-06-16,Ana,Pix
185,Smartphone,Eletronicos,2,2200,2026-09-29,Marina,Cartao
186,Smartphone,Eletronicos,2,2200,2026-02-10,Pedro,Boleto
187,Mouse,Perifericos,1,120,2026-03-15,Carlos,Cartao
188,Mouse,Perifericos,2,120,2026-01-05,Marina,Boleto
189,Smartphone,Eletronicos,1,2200,2026-08-15,Joao,Boleto
190,HD 2TB,Componentes,1,420,2026-05-09,Marina,Cartao
191,Mouse,Perifericos,2,120,2026-09-05,Ana,Pix
192,Headset,Perifericos,2,300,2026-06-01,Ana,Boleto
193,Mouse,Perifericos,3,120,2026-01-26,Pedro,Cartao
194,HD 2TB,Componentes,1,420,2026-04-28,Pedro,Cartao
195,Smartphone,Eletronicos,2,2200,2026-05-09,Julia,Cartao
196,Webcam,Perifericos,2,280,2026-03-12,Julia,Pix
197,Notebook,Eletronicos,2,3500,2026-08-14,Ana,Cartao
198,Monitor,Eletronicos,1,1200,2026-06-01,Joao,Cartao
199,Monitor,Eletronicos,1,1200,2026-07-07,Pedro,Cartao
200,Smartphone,Eletronicos,1,2200,2026-09-04,Joao,Cartao
201,Monitor,Eletronicos,1,1200,2026-02-08,Carlos,Cartao
202,Webcam,Perifericos,2,280,2026-07-23,Pedro,Pix
203,Notebook,Eletronicos,2,3500,2026-03-05,Marina,Pix
204,Mouse,Perifericos,1,120,2026-07-15,Julia,Boleto
205,Mouse,Perifericos,2,120,2026-01-13,Pedro,Boleto
206,HD 2TB,Componentes,3,420,2026-04-24,Julia,Pix
207,HD 2TB,Componentes,1,420,2026-06-04,Julia,Cartao
208,HD 2TB,Componentes,1,420,2026-06-05,Marina,Pix
209,Headset,Perifericos,4,300,2026-07-18,Marina,Pix
210,Webcam,Perifericos,1,280,2026-08-03,Pedro,Cartao
211,Teclado,Perifericos,4,250,2026-02-20,Marina,Cartao
212,Mouse,Perifericos,4,120,2026-07-09,Carlos,Cartao
213,Memoria RAM 16GB,Componentes,3,380,2026-02-20,Julia,Pix
214,Webcam,Perifericos,4,280,2026-02-01,Marina,Pix
215,HD 2TB,Componentes,2,420,2026-08-21,Ana,Cartao
216,Headset,Perifericos,1,300,2026-01-11,Ana,Cartao
217,Monitor,Eletronicos,2,1200,2026-04-16,Ana,Cartao
218,Headset,Perifericos,2,300,2026-04-30,Joao,Cartao
219,Headset,Perifericos,1,300,2026-05-22,Carlos,Boleto
220,SSD 1TB,Componentes,1,450,2026-02-26,Julia,Boleto
221,Mouse,Perifericos,1,120,2026-05-02,Pedro,Pix
222,Notebook,Eletronicos,1,3500,2026-08-04,Pedro,Pix
223,Teclado,Perifericos,1,250,2026-07-05,Pedro,Cartao
224,Tablet,Eletronicos,3,1500,2026-01-23,Julia,Cartao
225,Headset,Perifericos,1,300,2026-08-23,Julia,Boleto
226,Teclado,Perifericos,1,250,2026-07-25,Marina,Cartao
227,HD 2TB,Componentes,1,420,2026-02-07,Ana,Pix
228,Monitor,Eletronicos,1,1200,2026-06-16,Marina,Boleto
229,Teclado,Perifericos,1,250,2026-08-09,Ana,Cartao
230,Webcam,Perifericos,1,280,2026-04-21,Marina,Cartao
231,Mouse,Perifericos,1,120,2026-08-21,Marina,Cartao
232,Teclado,Perifericos,2,250,2026-05-11,Joao,Boleto
233,Teclado,Perifericos,1,250,2026-02-16,Ana,Pix
234,SSD 1TB,Componentes,4,450,2026-03-08,Pedro,Pix
235,Headset,Perifericos,2,300,2026-03-04,Marina,Pix
236,SSD 1TB,Componentes,1,450,2026-01-27,Joao,Cartao
237,Headset,Perifericos,1,300,2026-04-19,Carlos,Cartao
238,Monitor,Eletronicos,2,1200,2026-07-08,Ana,Cartao
239,Memoria RAM 16GB,Componentes,3,380,2026-01-14,Pedro,Boleto
240,Mouse,Perifericos,1,120,2026-04-03,Joao,Cartao
241,Mouse,Perifericos,2,120,2026-01-04,Carlos,Boleto
242,Teclado,Perifericos,1,250,2026-03-14,Julia,Cartao
243,SSD 1TB,Componentes,1,450,2026-04-21,Marina,Cartao
244,Mouse,Perifericos,3,120,2026-06-16,Pedro,Cartao
245,Smartphone,Eletronicos,1,2200,2026-01-26,Julia,Pix
246,Teclado,Perifericos,2,250,2026-08-15,Marina,Pix
247,Monitor,Eletronicos,2,1200,2026-08-09,Ana,Pix
248,Teclado,Perifericos,5,250,2026-06-07,Ana,Pix
249,Notebook,Eletronicos,2,3500,2026-04-15,Joao,Boleto
250,SSD 1TB,Componentes,1,450,2026-05-29,Joao,Pix
251,Teclado,Perifericos,1,250,2026-03-08,Marina,Cartao
252,Headset,Perifericos,2,300,2026-07-01,Ana,Cartao
253,Teclado,Perifericos,2,250,2026-08-24,Ana,Boleto
254,Headset,Perifericos,1,300,2026-08-02,Joao,Pix
255,Mouse,Perifericos,1,120,2026-08-24,Julia,Boleto
256,Memoria RAM 16GB,Componentes,1,380,2026-05-05,Marina,Cartao
257,Teclado,Perifericos,1,250,2026-06-08,Julia,Pix
258,Smartphone,Eletronicos,1,2200,2026-09-19,Julia,Pix
259,HD 2TB,Componentes,3,420,2026-06-28,Joao,Cartao
260,Memoria RAM 16GB,Componentes,1,380,2026-05-01,Ana,Pix
261,Headset,Perifericos,2,300,2026-02-08,Carlos,Boleto
262,Teclado,Perifericos,2,250,2026-08-18,Julia,Boleto
263,Webcam,Perifericos,1,280,2026-06-15,Julia,Pix
264,Teclado,Perifericos,1,250,2026-06-05,Joao,Cartao
265,Notebook,Eletronicos,1,3500,2026-08-25,Marina,Pix
266,Mouse,Perifericos,1,120,2026-02-16,Pedro,Cartao
267,Headset,Perifericos,2,300,2026-01-22,Marina,Boleto
268,Smartphone,Eletronicos,1,2200,2026-09-01,Pedro,Pix
269,Monitor,Eletronicos,2,1200,2026-06-25,Julia,Pix
270,Notebook,Eletronicos,2,3500,2026-08-13,Marina,Cartao
271,Mouse,Perifericos,1,120,2026-05-25,Marina,Cartao
272,Headset,Perifericos,2,300,2026-06-21,Ana,Pix
273,Mouse,Perifericos,4,120,2026-05-10,Julia,Boleto
274,Headset,Perifericos,2,300,2026-03-18,Joao,Pix
275,HD 2TB,Componentes,1,420,2026-06-08,Julia,Cartao
276,Headset,Perifericos,2,300,2026-02-13,Joao,Cartao
277,Mouse,Perifericos,4,120,2026-03-07,Julia,Cartao
278,Placa de Video,Componentes,1,2800,2026-09-27,Ana,Cartao
279,Mouse,Perifericos,1,120,2026-07-05,Joao,Pix
280,HD 2TB,Componentes,1,420,2026-09-06,Carlos,Pix
281,Notebook,Eletronicos,3,3500,2026-02-21,Pedro,Cartao
282,Memoria RAM 16GB,Componentes,2,380,2026-01-20,Julia,Pix
283,Monitor,Eletronicos,3,1200,2026-07-12,Carlos,Pix
284,SSD 1TB,Componentes,1,450,2026-03-26,Julia,Cartao
285,Webcam,Perifericos,2,280,2026-05-02,Marina,Cartao
286,SSD 1TB,Componentes,4,450,2026-04-30,Pedro,Pix
287,SSD 1TB,Componentes,2,450,2026-04-10,Joao,Cartao
288,Teclado,Perifericos,1,250,2026-05-25,Marina,Cartao
289,Smartphone,Eletronicos,1,2200,2026-04-13,Pedro,Pix
290,Webcam,Perifericos,2,280,2026-07-10,Pedro,Boleto
291,Teclado,Perifericos,1,250,2026-03-05,Joao,Pix
292,Teclado,Perifericos,1,250,2026-09-20,Carlos,Cartao
293,HD 2TB,Componentes,1,420,2026-08-19,Joao,Boleto
294,Teclado,Perifericos,1,250,2026-07-11,Carlos,Cartao
295,Tablet,Eletronicos,2,1500,2026-06-13,Ana,Cartao
296,SSD 1TB,Componentes,3,450,2026-03-12,Ana,Pix
297,Webcam,Perifericos,2,280,2026-03-13,Julia,Cartao
298,HD 2TB,Componentes,1,420,2026-01-10,Joao,Pix
299,HD 2TB,Componentes,1,420,2026-09-28,Marina,Pix
300,Mouse,Perifericos,2,120,2026-01-25,Carlos,Cartao
301,Teclado,Perifericos,1,250,2026-02-26,Marina,Cartao
302,Teclado,Perifericos,1,250,2026-05-04,Julia,Pix
303,Headset,Perifericos,2,300,2026-05-04,Pedro,Cartao
304,Notebook,Eletronicos,1,3500,2026-07-04,Ana,Boleto
305,SSD 1TB,Componentes,3,450,2026-09-17,Pedro,Pix
306,Notebook,Eletronicos,1,3500,2026-07-18,Joao,Pix
307,SSD 1TB,Componentes,2,450,2026-06-26,Carlos,Cartao
308,SSD 1TB,Componentes,1,450,2026-06-20,Carlos,Pix
309,Memoria RAM 16GB,Componentes,2,380,2026-03-31,Julia,Cartao
310,Webcam,Perifericos,4,280,2026-03-11,Ana,Cartao
311,Notebook,Eletronicos,3,3500,2026-04-14,Ana,Cartao
312,Mouse,Perifericos,3,120,2026-06-08,Pedro,Cartao
313,Teclado,Perifericos,1,250,2026-01-19,Julia,Pix
314,SSD 1TB,Componentes,1,450,2026-06-19,Joao,Pix
315,Memoria RAM 16GB,Componentes,1,380,2026-08-14,Marina,Pix
316,Webcam,Perifericos,1,280,2026-07-08,Pedro,Pix
317,Teclado,Perifericos,1,250,2026-08-09,Pedro,Boleto
318,Mouse,Perifericos,1,120,2026-02-22,Ana,Pix
319,Teclado,Perifericos,1,250,2026-08-07,Carlos,Cartao
320,Notebook,Eletronicos,1,3500,2026-06-30,Pedro,Boleto
321,Placa de Video,Componentes,1,2800,2026-01-30,Ana,Cartao
322,Teclado,Perifericos,2,250,2026-03-23,Ana,Pix
323,SSD 1TB,Componentes,2,450,2026-01-18,Carlos,Pix
324,Mouse,Perifericos,1,120,2026-07-16,Pedro,Pix
325,Teclado,Perifericos,1,250,2026-07-09,Joao,Cartao
326,Monitor,Eletronicos,1,1200,2026-07-07,Marina,Pix
327,HD 2TB,Componentes,1,420,2026-01-14,Julia,Pix
328,HD 2TB,Componentes,2,420,2026-03-02,Joao,Cartao
329,Tablet,Eletronicos,1,1500,2026-05-27,Julia,Boleto
330,Monitor,Eletronicos,2,1200,2026-02-07,Marina,Pix
331,Placa de Video,Componentes,1,2800,2026-06-13,Julia,Pix
332,Headset,Perifericos,4,300,2026-06-03,Carlos,Cartao
333,Webcam,Perifericos,5,280,2026-07-05,Pedro,Pix
334,SSD 1TB,Componentes,2,450,2026-05-02,Marina,Pix
335,Mouse,Perifericos,1,120,2026-03-08,Pedro,Boleto
336,Teclado,Perifericos,1,250,2026-09-03,Pedro,Cartao
337,Headset,Perifericos,1,300,2026-03-06,Joao,Cartao
338,Webcam,Perifericos,2,280,2026-06-26,Carlos,Boleto
339,Webcam,Perifericos,3,280,2026-04-04,Carlos,Cartao
340,Notebook,Eletronicos,1,3500,2026-03-05,Pedro,Pix
341,Mouse,Perifericos,1,120,2026-04-26,Joao,Boleto
342,Mouse,Perifericos,4,120,2026-02-10,Joao,Pix
343,Mouse,Perifericos,1,120,2026-06-05,Pedro,Cartao
344,Smartphone,Eletronicos,2,2200,2026-03-20,Carlos,Cartao
345,Headset,Perifericos,4,300,2026-01-22,Ana,Pix
346,SSD 1TB,Componentes,2,450,2026-05-16,Julia,Pix
347,Headset,Perifericos,1,300,2026-01-16,Marina,Boleto
348,Webcam,Perifericos,3,280,2026-06-04,Marina,Pix
349,Teclado,Perifericos,1,250,2026-08-21,Ana,Cartao
350,Teclado,Perifericos,1,250,2026-08-26,Carlos,Pix
351,Memoria RAM 16GB,Componentes,1,380,2026-06-13,Julia,Boleto
352,Teclado,Perifericos,1,250,2026-07-09,Pedro,Cartao
353,Teclado,Perifericos,1,250,2026-05-17,Marina,Pix
354,Mouse,Perifericos,4,120,2026-07-16,Pedro,Cartao
355,HD 2TB,Componentes,1,420,2026-06-17,Pedro,Cartao
356,Smartphone,Eletronicos,1,2200,2026-09-21,Marina,Cartao
357,Notebook,Eletronicos,1,3500,2026-07-21,Pedro,Cartao
358,Headset,Perifericos,2,300,2026-01-25,Ana,Pix
359,Memoria RAM 16GB,Componentes,3,380,2026-08-29,Joao,Cartao
360,Teclado,Perifericos,1,250,2026-05-16,Julia,Pix
361,Notebook,Eletronicos,1,3500,2026-01-27,Pedro,Cartao
362,Mouse,Perifericos,1,120,2026-07-17,Pedro,Cartao
363,Memoria RAM 16GB,Componentes,1,380,2026-03-02,Carlos,Boleto
364,SSD 1TB,Componentes,2,450,2026-06-23,Pedro,Boleto
365,Tablet,Eletronicos,1,1500,2026-09-18,Marina,Cartao
366,Monitor,Eletronicos,1,1200,2026-06-20,Marina,Cartao
367,HD 2TB,Componentes,1,420,2026-03-13,Joao,Boleto
368,Teclado,Perifericos,3,250,2026-06-03,Pedro,Pix
369,Headset,Perifericos,1,300,2026-06-03,Marina,Cartao
370,Webcam,Perifericos,3,280,2026-08-02,Pedro,Pix
371,Memoria RAM 16GB,Componentes,4,380,2026-01-14,Pedro,Cartao
372,SSD 1TB,Componentes,1,450,2026-04-27,Julia,Pix
373,Headset,Perifericos,1,300,2026-07-14,Carlos,Cartao
374,Headset,Perifericos,1,300,2026-02-26,Carlos,Pix
375,Smartphone,Eletronicos,2,2200,2026-04-15,Marina,Cartao
376,Teclado,Perifericos,1,250,2026-02-01,Julia,Pix
377,Mouse,Perifericos,4,120,2026-09-02,Pedro,Pix
378,Teclado,Perifericos,2,250,2026-09-30,Joao,Cartao
379,Memoria RAM 16GB,Componentes,4,380,2026-05-16,Pedro,Cartao
380,Mouse,Perifericos,5,120,2026-06-02,Carlos,Boleto
381,SSD 1TB,Componentes,1,450,2026-04-17,Julia,Cartao
382,Mouse,Perifericos,2,120,2026-05-21,Joao,Pix
383,Mouse,Perifericos,3,120,2026-07-22,Joao,Boleto
384,Mouse,Perifericos,4,120,2026-05-28,Julia,Pix
385,Webcam,Perifericos,1,280,2026-09-03,Carlos,Pix
386,HD 2TB,Componentes,2,420,2026-05-20,Carlos,Pix
387,Mouse,Perifericos,1,120,2026-01-26,Julia,Boleto
388,Mouse,Perifericos,1,120,2026-02-21,Marina,Pix
389,Webcam,Perifericos,4,280,2026-03-12,Ana,Boleto
390,Smartphone,Eletronicos,2,2200,2026-09-01,Marina,Cartao
391,Mouse,Perifericos,2,120,2026-05-27,Julia,Pix
392,Webcam,Perifericos,3,280,2026-04-29,Pedro,Cartao
393,Notebook,Eletronicos,1,3500,2026-03-31,Marina,Boleto
394,HD 2TB,Componentes,2,420,2026-07-23,Marina,Pix
395,Memoria RAM 16GB,Componentes,2,380,2026-05-29,Ana,Pix
396,Monitor,Eletronicos,2,1200,2026-06-21,Joao,Cartao
397,Headset,Perifericos,1,300,2026-03-10,Pedro,Cartao
398,Monitor,Eletronicos,1,1200,2026-03-25,Julia,Cartao
399,Smartphone,Eletronicos,2,2200,2026-06-22,Joao,Cartao
400,Smartphone,Eletronicos,1,2200,2026-07-27,Marina,Cartao
401,Webcam,Perifericos,4,280,2026-04-05,Carlos,Cartao
402,Notebook,Eletronicos,1,3500,2026-07-16,Carlos,Cartao
403,Mouse,Perifericos,2,120,2026-01-06,Joao,Cartao
404,Notebook,Eletronicos,1,3500,2026-03-02,Marina,Pix
405,Teclado,Perifericos,3,250,2026-06-09,Julia,Pix
406,Mouse,Perifericos,1,120,2026-04-24,Carlos,Boleto
407,Teclado,Perifericos,3,250,2026-07-11,Marina,Cartao
408,SSD 1TB,Componentes,2,450,2026-04-22,Carlos,Cartao
409,SSD 1TB,Componentes,1,450,2026-09-27,Marina,Cartao
